Type,Flour,Milk,Sugar,Butter,Egg,Baking Powder,Vanilla,Salt
Muffin,55,28,3,7,5,2,0,0
Muffin,47,23,12,6,9,1,0,0
Muffin,47,24,18,6,4,1,0,0
Muffin,45,11,17,17,8,1,0,0
Muffin,50,26,12,6,5,2,1,0
Muffin,55,27,3,7,5,2,1,0
Muffin,54,27,7,5,5,2,0,0
Muffin,47,24,10,10,4,1,0,0
Muffin,50,17,17,8,6,1,0,0
Muffin,50,17,17,11,8,1,0,0
Cupcake,39,0,26,19,14,1,1,0
Cupcake,42,21,16,10,8,3,0,0
Cupcake,34,13,20,20,5,2,1,0
Cupcake,39,17,17,19,10,1,1,0
Cupcake,38,13,23,15,8,0,1,0
Cupcake,42,15,25,9,5,1,0,0
Cupcake,36,18,21,14,11,2,1,0
Cupcake,38,12,31,8,6,1,1,0
Cupcake,36,16,23,12,9,1,1,0
Cupcake,34,17,24,11,13,0,1,0
